OBJECTID,Trail Segment Type,Location,Status,Structure ID,Material,Map Miles,Width (ft),Structure Type,Structure Tonnage,Trail Name,Owner,ADA,Shape__Length,Closure Status,Trailhead ID,GlobalID,AccessAddress,CouncilDistrict
913,Trail,Middle Crabtree Creek Segment,Existing,NA,Asphalt,0.00961708,10,NA,0,Crabtree Creek Trail,COR,YES,50.7781980790339,OPEN,268,c60cf484-faa2-4d15-8137-3b6e19ffaa13,2502 Atlantic Ave,C
914,Trail,Middle Crabtree Creek Segment,Existing,NA,Concrete,0.00501102,10,NA,0,Crabtree Creek Trail,COR,NO,26.4581899249769,OPEN,267,8aa63c6a-3360-4326-9107-1cdee5b55e2e,2497 Ratchford Dr,C
915,Trail,Middle Crabtree Creek Segment,Existing,NA,Concrete,0.00683584,10,NA,0,Crabtree Creek Trail,COR,NO,36.0932201042789,OPEN,267,cf73e0da-66e7-4ebb-91e3-5219b0a0edf0,2497 Ratchford Dr,C
916,Structure,Middle Crabtree Creek Segment -  # 105,Existing,105,Shingle Roof,0.02064394,14,Covered Walkway,,Crabtree Creek Trail,COR,NO,109.00001766447,OPEN,272,6798d2d2-b891-455f-92af-1bf3fd3dafea,2002 Yonkers Rd,C
917,Structure,Middle Crabtree Creek Segment -  # 104,Existing,104,Wood Decking,0.36990379,10,Bridge,5,Crabtree Creek Trail,COR,NO,1953.09202893655,OPEN,266,0b81afb6-8113-4d56-88a9-1d5c60049685,1959 N Raleigh Blvd,C
918,SidewalkConnection,Middle Crabtree Creek Segment,Existing,NA,Asphalt,0.078624720369076,10,Sidewalk,0,Crabtree Creek Trail,COR,NO,415.138523447764,OPEN,266,c8a3617e-8422-4ac0-995e-60edac02f80b,1959 N Raleigh Blvd,C
919,Crossing,Middle Crabtree Creek Segment,Existing,NA,Asphalt,0.01735788,10,NA,0,Crabtree Creek Trail,COR,YES,91.6496166157222,OPEN,265,b4675549-977d-4191-85c7-ac0808052056,1602 Crabtree Blvd,C
920,SidewalkConnection,Middle Crabtree Creek Segment,Existing,NA,Asphalt,0.004549835406128,10,NA,0,Crabtree Creek Trail,COR,NO,24.0231309415137,OPEN,266,538bd7d9-6635-4716-b0f6-0a43950c367d,1959 N Raleigh Blvd,C
921,Trail,Buckeye Segment,Existing,NA,Asphalt,0.0825288,10,NA,0,Crabtree Creek Trail,COR,YES,435.751984982626,OPEN,65,d6015f08-7e35-4911-9c8f-e4ed4d69a62b,1308 Crabtree Blvd,C
922,Trail,Buckeye Segment,Existing,NA,Asphalt,0.17068675,10,NA,0,Crabtree Creek Trail,COR,YES,901.226060794227,OPEN,64,b3db88a3-13f6-4a95-beca-75f3192262a4,1112 Crabtree Blvd,C
923,Trail,Buckeye Segment,Existing,NA,Asphalt,0.00162811,10,NA,0,Crabtree Creek Trail,COR,YES,8.59642836086925,OPEN,66,dc06afa8-65a5-4b03-962c-8c2e6b7e9828,2901 Milburnie Rd,C
924,Trail,Crabtree Creek Trail,Existing,NA,Asphalt,0.05949818,10,NA,0,Crabtree Creek Trail,COR,YES,314.150378760393,OPEN,381,28fe8c50-b15c-4ce5-a4fa-fd88b7b8c35a,18 Anderson Point Dr,C
925,Structure,Crabtree Creek Trail,Existing,332,Wood Decking,0.03431369,10,Boardwalk,5,Crabtree Creek Trail,COR,YES,181.176279789563,OPEN,381,94062b7e-c695-48d3-89a3-00d41b241fc2,18 Anderson Point Dr,C
